name;address;province;city;pinAddress;phone;latitude;longitude;teamCode
1. AGRES ID JAKARTA;JL. GUNUNG SAHARI RAYA 1  RUKO BLOK A NO. 8  ANCOL, KEC. PADEMANGAN  JAKARTA UTARA 14420;DKI Jakarta;Jakarta Utara;Mangga Dua Square, Ruko Jl. Gn. Sahari No.1 Blok A. 8, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420;0812-9700-9800;-6.135350805;106.8313541;JKT01-JKT11
2. AGRESKOMPUTER.COM;JL. GUNUNG SAHARI RAYA 1  RUKO BLOK A NO. 1  ANCOL, KEC. PADEMANGAN  JAKARTA UTARA 14420;DKI Jakarta;Jakarta Utara;Mangga Dua Square, Ruko Jl. Gn. Sahari No.1 Blok A. 8, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420;0821-8080-9090;-6.135350805;106.8313541;JKT05-RAK01
3. AGRESKOMPUTER.COM;JL. MANGGA DUA RAYA  LANTAI LOBBY UTAMA NO. 1  MANGGA DUA SELATAN, KEC. SAWAH BESAR  JAKARTA PUSAT 10730;DKI Jakarta;Jakarta Pusat;Jl. Mangga Dua Raya, RT.17/RW.1'1. Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730;To Be Announced;-6.138936889;106.828707;JKT05-RAK02
4. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK AC 09  BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40117;0811-1914-1687;-6.907571723;107.6088219;BDG05-RBA02
5. AGRES ID X INTEL;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK D 01  BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40118;0811-1997-2604;-6.907571723;107.6088219;BDG05-RBA03
6. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK S 05-06  BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40119;0811-9003-4901;-6.907571723;107.6088219;BDG05-RBA04
7. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK T 09-10   BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40120;0811-1902-9221;-6.907571723;107.6088219;BDG05-RBA01
8. AGRES ID;JL. PURNAWARMAN 13-15  LANTAI 1 BLOK T 25   BABAKAN CIAMIS, KEC. SUMUR BANDUNG  JAWA BARAT 40117;Jawa Barat;Bandung;Jl. Purnawarman 13-15 Gedung Bec Lama Lt Lg Blok A 02, Kota Bandung, Jawa Barat 40121;0811-9002-9688;-6.907571723;107.6088219;BDG05-RBA05
9. AGRES ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A10 NO. 11A  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-1914-6067;-6.246386909;106.9914997;BKS05-RBK01
10. GAMER ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A5 NO. 8  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-9791-0644;-6.246386909;106.9914997;BKS05-RBK02
11. GAMER ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A1 NO. 8  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-9791-0646;-6.246386909;106.9914997;BKS05-RBK03
12. GAMER ID;JL. KH. NOER ALI NO. 177  LANTAI 1 BLOK A7 NO. 3  KAYURINGIN JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. KH. Noer Ali No.177, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144;0811-1902-9536;-6.246386909;106.9914997;BKS05-RBK04
13. AGRES ID;JL. AHMAD YANI NO. 1  LANTAI 1 NO. 39  MARGA JAYA, KEC. BEKASI SELATAN  JAWA BARAT 17144;Jawa Barat;Bekasi;Jl. Ahmad Yani No.'1. RT.004/RW.00'1. Marga Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17141;0811-8112-6767;-6.249329202;106.9925167;BKS05-RMB01
